Country,Continent,Region,Government Type,Religion,Leader,Population,GDP PC,Area (km²),Area (sq mi),Max GDPPC Grow Rt,Adj GDPPC Growth,Pop Growth Rate,2040 Population,2040 GDP,2040 GDP PC,Actual GDP Growth,,,,,,,,,
Canespa,Crona,Cusinaut,Unitary parliamentary elective constitutional monarchy,M'acunism,Wasi King III,"91,300,000","$29,507.00","1,357,956.67","524,310.00",5.00%,0.16%,1.17%,"92,368,210","$2,729,883,214,049.81 ","$29,554.36 ",1.31%,,,,,,,,,
Alstin,Crona,South Crona,Federal presidential constitutional republic,Chantrist,President James Hickel,"166,905,948","$65,921.19","1,202,168.88","464,160.00",0.50%,0.02%,1.40%,"169,242,631","$11,158,466,298,623.60 ","$65,931.77 ",1.40%,,,,,,,,,
Asteria,Crona,South Crona,Unitary presidential constitutional republic,Chantrist (Episcopalian),President Katja Stark,"14,756,240","$45,932.00","373,930.00","144,380.00",2.75%,0.09%,0.17%,"14,781,574","$679,546,611,186.34 ","$45,972.55 ",0.26%,,,,,,,,,
Tierrador,Crona,South Crona,Unitary semi-constitutional woqalate,Catholic (Latin Rite),Woqali Mokhar III,"211,183,782","$65,108.47","5,074,979.00","1,959,460.00",0.50%,0.02%,0.34%,"211,901,123","$13,798,772,241,076.60 ","$65,118.92 ",0.35%,,,,,,,,,
Kuronia,Crona,South Crona,Unitary parliamentary republic,Catholic (Caphiric Rite),Prime Minister Armands Vasiljevs,"56,311,204","$69,642.86","1,538,478.00","594,010.00",0.50%,0.02%,3.00%,"58,000,540","$4,039,971,806,922.57 ","$69,654.04 ",2.93%,,,,,,,,,
Paulastra,Crona,South Crona,Unitary constitutional monarchy,Catholic (Latin Rite),King Paul III,"248,671,330","$47,690.55","3,814,690.00","1,472,860.00",2.75%,0.09%,0.36%,"249,559,087","$11,912,116,246,061.10 ","$47,732.65 ",0.44%,Global Growth Factor,,0.0321,,,,,,
The Cape,Crona,South Crona,Federal parliamentary constitutional republic,Catholic (Latin Rite),Prime Executive Taresa Lanerā,"127,912,766","$35,544.00","2,335,077.00","467,730.00",3.50%,0.11%,4.00%,"133,029,277","$4,733,704,957,988.25 ","$35,583.93 ",3.95%,,,,,,,,,
Kiravia,Kiroborea,Great Kirav,Federal crowned republic,Catholic (Coscivian Rite),Prime Executive Adheritus Ilkaśvar,"715,647,228","$51,000.00","7,705,447.73","2,975,090.00",2.75%,0.09%,0.59%,"719,869,547","$36,745,755,585,862.60 ","$51,045.02 ",0.67%,,,,,,,,,
Castadilla,Sarpedon,Vallos,Federal Marxist-Livasist parliamentary socialist semi-elective semi-constitutional monarchy,Catholic Apostolic (Vallosi Rite),Emperor Maximilian II,"90,773,672","$30,119.00","1,811,618.98","699,470.00",5.00%,0.16%,2.40%,"92,952,240","$2,804,121,924,190.50 ","$30,167.34 ",2.50%,,,,Economic Tiers (GDP PC),,,,Population Tier,
Takatta Loa,Sarpedon,Vallos,Unitary Kapuhenasa constitutional theocracy,Kapuhenasa,"Sedanraia, Incarnate of Natano","174,562,985","$37,533.50","635,116.88","245,220.00",3.50%,0.11%,2.40%,"178,752,497","$6,716,744,626,513.91 ","$37,575.67 ",2.45%,,,,Tier,Range,Max Growth Rate,,Tier,Range
Vallejar,Sarpedon,Vallos,Unitary theocratic Christian absolute monarchy,Vallejarian Christian,King David II,"34,500,000","$34,000.00","888,081.02","342,890.00",5.00%,0.16%,2.40%,"35,328,000","$1,203,079,848,960.00 ","$34,054.57 ",2.50%,,,,Impoverished,"$0-$9,999",10%,,1,"0-9,999,999"
Kabasa,Sarpedon,Vallos,Unitary one-party socialist republic,Voodoo (Kabasan Rite),President Paul Laguerre,"84,969,325","$13,040.00","183,267.56","70,760.00",7.50%,0.24%,1.40%,"86,158,896","$1,126,216,853,107.12 ","$13,071.39 ",1.62%,,,,Developing,"$10,000-$24,999",7.50%,,2,"10,000,000-29,999,999"
Cartadania,Sarpedon,Taino-Kindreds,Federal presidential republic,Catholic (Latin Rite),President Anteros Ballas,"378,150,569","$75,438.00","4,122,251.00","1,591,610.00",0.50%,0.02%,0.08%,"378,465,929","$28,555,295,141,298.70 ","$75,450.11 ",0.10%,,,,Developed,"$25,000-$34,999",5%,,3,"30,000,000-49,999,999"
Caphiria,Sarpedon,Latium,Unitary constitutional republic,Catholic (Caphiric Rite),Imperator Constantinus I,"617,214,000","$64,242.00","6,047,907.00","2,335,110.00",1.50%,0.05%,0.36%,"619,435,970","$39,812,966,327,838.20 ","$64,272.93 ",0.41%,,,,Healthy,"$35,000-$44,999",3.50%,,4,"50,000,000-79,999,999"
Olmeria,Kiroborea,Borealis,Unitary presidential republic,Protestant (Lindberghist),President Këil Frieden,"23,964,337","$51,113.63","498,805.81","192,590.00",2.75%,0.09%,1.75%,"24,383,713","$1,247,440,285,773.84 ","$51,158.75 ",1.81%,,,,Strong,"$45,000-$54,999",2.75%,,5,"80,000,000-119,999,999"
Caergwynn,Levantia,Gallia Magna,Unitary constitutional republic,Protestant (Caergwynnist),Arlywydd Seisyll ap Morgan ap Ieuan,"132,854,297","$42,791.00","1,767,288.50","682,353.90",3.50%,0.11%,1.06%,"134,262,553","$5,751,683,650,743.55 ","$42,839.08 ",1.16%,,,,Very Strong,"$55,000-$64,999",1.50%,,6,"120,000,000-349,999,999"
Faneria,Levantia,Gallia Magna,Unitary quaternalist republic,Catholic (Latin Rite),Director Cían Walaerin,"394,252,312","$49,738.41","3,087,291.00","1,192,010.00",2.75%,0.09%,0.15%,"394,843,690","$19,656,233,599,057.10 ","$49,782.32 ",0.24%,,,,Extravagant,"$65,000+",0.50%,,7,"350,000,000-499,999,999"
